hour,non-preg_mean,non-preg_sd,non-preg_detrended,pregnant_mean,pregnant_sd,pregnant_detrended,Esr1i_mean,Esr1i_sd,Esr1i_detrended
0.250,36.2122,0.8275,36.4395,36.7761,0.3429,36.7966,36.5022,0.2780,36.4808
0.750,36.2747,0.8280,36.4472,36.8006,0.2965,36.7624,36.4933,0.2334,36.4720
1.250,36.4275,0.7292,36.4312,36.8175,0.2847,36.7587,36.4904,0.1977,36.4645
1.750,36.1921,0.5366,36.3732,36.8204,0.2681,36.7619,36.4862,0.1689,36.4613
2.250,36.2759,0.4142,36.3329,36.7694,0.2729,36.7604,36.4992,0.1757,36.4611
2.750,36.2739,0.3039,36.3708,36.7911,0.2237,36.7392,36.5089,0.1864,36.4552
3.250,36.3916,0.2316,36.3721,36.7932,0.2340,36.7247,36.5158,0.1924,36.4398
3.750,36.4601,0.1895,36.5152,36.8130,0.2584,36.7300,36.5168,0.2057,36.4302
4.250,36.6786,0.2286,36.7500,36.7421,0.2538,36.7451,36.5294,0.2012,36.4426
4.750,37.0102,0.2435,37.0869,36.8138,0.2422,36.7674,36.5431,0.1794,36.4723
5.250,37.2953,0.2694,37.4488,36.8605,0.2485,36.7680,36.5636,0.1630,36.5163
5.750,37.6607,0.2178,37.7309,36.7858,0.2305,36.7597,36.5974,0.1508,36.5562
6.250,37.8803,0.1910,37.9126,36.7579,0.2099,36.7388,36.6455,0.1539,36.6088
6.750,38.0454,0.1792,38.0572,36.7534,0.1843,36.7086,36.6641,0.1605,36.6380
7.250,38.1117,0.1167,38.0770,36.7414,0.1987,36.6853,36.6702,0.1574,36.6321
7.750,38.1125,0.0994,38.0809,36.6765,0.1670,36.6823,36.6631,0.1578,36.6225
8.250,38.1353,0.1123,38.0737,36.7225,0.1822,36.6965,36.6650,0.1662,36.6229
8.750,38.1117,0.0972,38.0655,36.7439,0.1953,36.7241,36.6670,0.1810,36.6380
9.250,38.0768,0.1156,38.0652,36.7647,0.2389,36.7319,36.6683,0.1896,36.6444
9.750,38.0515,0.1429,38.0435,36.7381,0.2131,36.7312,36.6631,0.2035,36.6388
10.250,37.9523,0.1901,37.9542,36.7472,0.2357,36.7218,36.6436,0.2015,36.6256
10.750,37.7921,0.3412,37.8143,36.7632,0.2404,36.7268,36.6436,0.2003,36.6833
11.250,37.5521,0.4190,37.5768,36.7200,0.2656,36.7340,36.7864,0.1936,36.8643
11.750,37.3337,0.4915,37.3206,36.7562,0.2718,36.7808,37.0045,0.2383,37.0780
12.250,37.1483,0.6420,37.1724,36.8477,0.2501,36.8442,37.1860,0.2793,37.2410
12.750,37.0952,0.6204,37.2009,36.9597,0.3141,36.9361,37.3857,0.3483,37.3950
13.250,36.9751,0.6853,37.2962,36.9585,0.3011,37.0459,37.4797,0.3639,37.4763
13.750,37.2806,0.5663,37.3830,37.0935,0.2973,37.1433,37.4338,0.3499,37.4281
14.250,37.4246,0.4477,37.4314,37.2029,0.3197,37.2370,37.3753,0.3428,37.3668
14.750,37.4264,0.2108,37.4052,37.2639,0.3545,37.2980,37.2894,0.3451,37.2907
15.250,37.4801,0.1974,37.3255,37.2465,0.3645,37.3202,37.1831,0.3787,37.2003
15.750,37.3658,0.2724,37.2088,37.3371,0.3154,37.3164,37.0748,0.4161,37.1043
16.250,37.1942,0.3124,36.9798,37.2729,0.2821,37.2412,36.9538,0.4506,36.9816
16.750,36.9806,0.2911,36.7406,37.0910,0.2379,37.1214,36.8146,0.4649,36.8624
17.250,36.6602,0.1825,36.4750,36.9570,0.2215,36.9624,36.6826,0.4380,36.7405
17.750,36.3279,0.1504,36.2225,36.8138,0.2216,36.8170,36.5743,0.3578,36.6196
18.250,36.1459,0.1381,36.0459,36.7101,0.1903,36.7069,36.4927,0.2818,36.5152
18.750,36.0401,0.0698,36.0158,36.6169,0.2163,36.6853,36.4329,0.2157,36.4427
19.250,36.0433,0.0847,36.0450,36.6822,0.2223,36.7150,36.3977,0.1855,36.3826
19.750,36.1508,0.1459,36.1185,36.7430,0.2664,36.7639,36.3665,0.1684,36.3514
20.250,36.1602,0.1321,36.1546,36.8265,0.3182,36.8666,36.3385,0.1427,36.3281
20.750,36.2074,0.1639,36.2096,36.8533,0.3131,36.9645,36.3216,0.1373,36.3192
21.250,36.2349,0.2398,36.3118,37.0113,0.2587,37.0682,36.3402,0.1318,36.3489
21.750,36.4164,0.4938,36.4228,37.0845,0.2676,37.1315,36.3724,0.1369,36.4018
22.250,36.3396,0.6353,36.4773,37.0252,0.2965,37.1258,36.4302,0.1853,36.4565
22.750,36.3896,0.7138,36.4733,36.9902,0.3371,37.0818,36.4572,0.2459,36.4902
23.250,36.3921,0.7907,36.4612,36.9676,0.3675,36.9873,36.4689,0.2992,36.5122
23.750,36.6077,0.9285,36.4532,36.8895,0.3623,36.8819,36.4748,0.3185,36.4954
